filename, language, Properties, JSON, Markdown, JavaScript, TypeScript, TypeScript React, SCSS, comment, blank, total
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\copyLink.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\dowloadSingleFile.ts, TypeScript, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\exportToExcel.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\getFileExtension.ts, TypeScript, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\getZippedFiles.ts, TypeScript, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\linkToDocument.ts, TypeScript, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\newDocument.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\openInLink.ts, TypeScript, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\shareLink.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 1, 4, 10
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\xmlPerser.ts, TypeScript, 0, 0, 0, 0, 11, 0, 0, 9, 7, 27
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\zipFiles.ts, TypeScript, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\tsconfig.json, JSON, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\tslint.json, JSON, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
Total, -, 13, 19865, 19, 28, 1221, 1446, 74, 99, 373, 23138
